ticker,companyname,revenue_change,rnd_change,equity_change
ADMA,Adma Biologics Inc,0.33449026627753,0.7874788762374869,0.16783399978593594
ADVM,Adverum Biotechnologies Inc,29.0,0.743777614955927,0.3647504712899692
AFMD,Affimed NV,0.3257912206067972,0.14153593204083026,0.861871880414824
ALPN,Alpine Immune Sciences Inc,3.0438007771105617,0.07799176954732512,1.143851321452995
ALT,Altimmune Inc,0.3462185050040507,1.5058045595912994,4.88203644222635
AQB,AquaBounty Technologies Inc,1.0425705499654834,0.014017614523990085,5.619102000643901
ARAV,Aravive Inc,0.9453176162409953,0.4846056829141627,0.16461874819924405
ATEC,Alphatec Holdings Inc,0.335162664828931,0.419881204342186,2.9479402114473205
AUTL,Autolus Therapeutics plc,0.2839313572542901,0.1769261770838808,0.04205191353773152
AXNX,Axonics Inc,2.0639104485258333,0.3873427707411141,0.914202555717897
AYTU,Aytu Biopharma Inc,2.9352858221658344,4.915060696027967,0.6702816710051744
BCYC,BICYCLE THERAPEUTICS plc,0.2952258366487246,0.29713736223093434,0.7367777737034458
BGNE,BeiGene Ltd,1.1436519414170632,0.24495841122426998,0.4236423686106392
BIOC,Biocept Inc,6.355394903204167,0.034246767095492014,0.17778721215762094
BNTX,BioNTech SE,3.4417482433764013,1.8482377045560923,1.7798748510614155
CASI,CASI Pharmaceuticals Inc,1.318031046835611,0.40051072522982634,0.42167647309627365
CCXI,ChemoCentryx Inc,1.0478570794758792,0.10448183422467094,5.000631638436861
CDNA,CareDx Inc,0.5861500293978461,0.564568499003133,3.6510889292196005
CLGN,CollPlant Biotechnologies Ltd,7.584654950707243,0.09793351302785269,5.967808501857202
CNTG,Centogene NV,1.6318368183681837,0.5573514077163713,0.09726027397260273
CODX,Co-Diagnostics Inc,51.85432264721022,2.51250536285178,2.9785881638353984
CRDF,Cardiff Oncology Inc,0.4775389845657829,0.05250330291434557,19.317191504794238
CSBR,Champions Oncology Inc,0.26150580516514976,0.31440469430247964,1.4762354422411081
DMTK,DermTech Inc,0.5840462427745665,1.355067328136074,2.854524988743809
DNLI,Denali Therapeutics Inc,12.037465966177091,0.07155245295780088,1.0270139425025353
DOCS,Doximity Inc,0.7776488985118741,0.3526437490365346,57.752640845070424
DRIO,DarioHealth Corp,0.3608247422680413,0.4937515939811272,6.277777777777778
DXCM,Dexcom Inc,0.2661501936773709,0.3776077885952711,1.036597110754414
EDIT,Editas Medicine Inc,2.783667562538764,0.43016276615986015,1.7198881343070425
EXAS,Exact Sciences Corp,0.45531419274229323,3.1349773474752007,0.4379408847466537
EYPT,EyePoint Pharmaceuticals Inc,0.3262257652567626,0.09906837971138027,6.023612965885638
FATE,Fate Therapeutics Inc,2.792577866136514,0.4216371325010069,2.6041520313112976
FLGT,Fulgent Genetics Inc,21.153132250580047,1.118742067409392,8.850636582608269
FULC,Fulcrum Therapeutics Inc,16.149333333333335,0.19575846833578803,0.8087525307584489
GMAB,Genmab A,0.9057702488088937,0.2798434442270059,0.39567995554938196
GRTS,Gritstone bio Inc,8.92266355140187,0.01751522941932593,0.7276430162320497
HARP,Harpoon Therapeutics Inc,1.8902758706778182,0.2578416687160454,0.22914015415276
HOOK,HOOKIPA Pharma Inc,0.5809147205849436,0.3308084517090162,0.28512047861114675
HZNP,Horizon Therapeutics Public Ltd Co,0.5898360457905722,1.2074678103687888,0.7615049587838081
IMMP,IMMUTEP Ltd,1.2031082847179828,0.2293252308859377,0.3654146620372323
IMTX,Immatics NV,0.4460300036589828,0.7562911517994046,19.590544925154962
INMD,InMode Ltd,0.39061654135338353,0.05093292990418563,0.5076860696083312
INO,Inovio Pharmaceuticals Inc,1.4738707499105121,0.3799924238521848,2.1553313544652655
INSP,Inspire Medical Systems Inc,0.5420611151273136,0.8379481944621667,0.7513794808599483
ITMR,Itamar Medical Ltd,0.31275193550451075,0.3278761061946902,1.5847335573691792
JAGX,Jaguar Health Inc,0.9301681503461918,0.21133589700718947,4.1164768169420825
KDNY,Chinook Therapeutics Inc,2.243270695784662,18.674378748928877,4.043873046776657
LEXX,Lexaria Bioscience Corp,2.9415351557836935,0.8566624185783065,2.245861431624267
LGND,Ligand Pharmaceuticals Inc,0.8953246209950982,0.15696336931516552,0.12682354931892625
LPTX,Leap Therapeutics Inc,3.0,0.020199287614409922,1.1364395457581828
MDGS,Medigus Ltd,0.945054945054945,0.6371100164203614,2.423438198896675
MGNX,Macrogenics Inc,0.5845941825005865,0.0014456511263396532,0.8393528988891397
MORF,Morphic Holding Inc,1.5824748515331475,0.17586085170565768,1.8789323760096774
MRKR,Marker Therapeutics Inc,1.1894846946912203,0.5061148570336731,0.8355388054909294
MRNA,Moderna Inc,51.35332669017323,2.4439920481767365,1.3389973879773827
MRTX,Mirati Therapeutics Inc,4.5691263782866836,0.5054893684616606,0.9191757108069476
MTBC,CareCloud Inc,0.5868245559203282,2.0528385295170724,0.8097640470711038
NTRA,Natera Inc,0.36354228626227547,1.0980962044473488,0.4384170055652752
NVTA,Invitae Corp,0.32617797346571376,0.4804408482142857,6.286257447115134
ONCT,Oncternal Therapeutics Inc,0.3996840442338072,0.2556802627977006,9.418759018759019
OPGN,Opgen Inc,0.4302729560601801,1.5339299421218313,2.268641710172784
PHR,Phreesia Inc,0.259486263397807,0.328039317123642,4.037071881818364
PROF,Profound Medical Corp,0.6729982696648085,0.15260365103880358,0.24270607467560623
PTGX,Protagonist Therapeutics Inc,12.446937014667817,0.12135656904117664,3.1383525356652733
QDEL,Quidel Corp,2.316303254240306,0.6584306025235447,1.461527530613897
QGEN,Qiagen Nv,0.3326659642408025,0.06746416853168546,0.1437465258476931
QTNT,Quotient Ltd,0.32836232239098484,0.007889252753795706,4.254387552017369
QTRX,Quanterix Corp,0.6275925155925155,0.36029146091774056,2.9603934613510745
RCUS,Arcus Biosciences Inc,4.681866666666667,1.3538713575312542,3.7269585744962246
RGLS,Regulus Therapeutics Inc,165.66666666666666,0.639325250395361,0.8192860018789425
RGNX,REGENXBIO Inc,1.9966918623660876,0.24235205893380973,0.3197699880043412
SDGR,Schrodinger Inc,0.25360534646500166,0.621882416155465,1.1378397858668028
SELB,Selecta Biosciences Inc,3.146842657867107,0.05329847946681565,1.2333675681844118
SGEN,Seagen Inc,1.3775506575121232,0.14021932863330822,0.9396177429092816
SLRX,Salarius Pharmaceuticals Inc,0.3619887120299321,0.41285404037930884,1.7094979489921824
SMTI,Sanara MedTech Inc,0.3333190411457243,25.94597674948712,4.305146382370425
SRNE,Sorrento Therapeutics Inc,0.40926991820660397,0.30856205512756674,1.2904703937927415
SYRS,Syros Pharmaceuticals Inc,3.4898899411313025,0.3530671181039633,0.9581150464444821
TBIO,Translate Bio Inc,14.36380189366351,0.6088822541518941,1.7257625883144554
TDOC,Teladoc Health Inc,1.2572477470261738,2.2937538651824365,14.82669667468858
TELA,TELA Bio Inc,0.2834993066935585,0.4753231492361927,0.7208486399471663
TNDM,Tandem Diabetes Care Inc,0.3746613703466959,0.3503585306253254,0.5127910568791751
TRVN,Trevena Inc,104.74193548387096,0.018082232893157357,2.4057648897378017
TTNP,Titan Pharmaceuticals Inc,0.501794687724336,0.09270998415213949,0.89158453373768
TWST,Twist Bioscience Corp,0.7174382200066871,0.283007667573584,1.3246644612834118
TXG,10x Genomics Inc,0.25940882597835135,0.47960137690705884,0.8394496758485142
VAPO,Vapotherm Inc,1.5296067006554988,0.3742294838470108,1.5865261427639052
VEEV,Veeva Systems Inc,0.3051574051243904,0.38761396202659815,0.3575431029696241
VIR,Vir Biotechnology Inc,6.156681119432401,0.9847849961082855,0.7115291073874737
VIVO,Meridian Bioscience Inc,0.6035597515722808,0.2531035852616943,0.5130712403377451
VMD,Viemed Healthcare Inc,0.581428089403935,0.5837563451776651,0.021152363115566786
XENE,Xenon Pharmaceuticals Inc,1.1173509743294745,0.3262970192052821,0.4697305003777037
XLRN,Acceleron Pharma Inc,0.49475885435968014,0.21817529549488301,0.9593714205624642
